event_key,event_name,start_date,end_date,event_location,event_type,event_location-size
815,Dine Out Vancouver Festival,17/01/2014,02/02/2014,Vancouver,event,647540
816,HSBC Canada Sevens,07/03/2014,08/03/2014,Vancouver,event,647540
817,International Jazz Festival,21/06/2014,01/07/2014,Vancouver,event,647540
818,PuSh International Performing Arts Festival,21/01/2014,09/02/2014,Vancouver,event,647540
819,TED Conference,20/04/2014,24/04/2014,Vancouver,event,647540
820,Vancouver Craft Beer Week,29/05/2014,07/06/2014,Vancouver,event,647540
821,Vancouver Folk Music Festival,17/07/2014,19/07/2014,Vancouver,event,647540
822,Vancouver International Film Festival (VIFF),24/09/2014,09/10/2014,Vancouver,event,647540
823,Vancouver International Wine Festival,22/02/2014,01/03/2014,Vancouver,event,647540
824,Vancouver Opera Festival,22/02/2014,01/05/2014,Vancouver,event,647540
825,Vancouver Pride Festival,02/08/2014,02/08/2014,Vancouver,event,647540
826,Aboriginal Day,21/06/2013,21/06/2013,Domestic,holiday,
827,Boxing Day,26/12/2013,26/12/2013,Domestic,holiday,
828,BUILDEX Vancouver,12/02/2013,13/02/2013,Vancouver,event,603500
829,Canada Day,01/07/2013,01/07/2013,Domestic,holiday,
830,Canada Day Celebrations,01/07/2013,01/07/2013,Vancouver,event,603500
831,Christmas Day,25/12/2013,25/12/2013,Domestic,holiday,
832,Civic Holiday,03/08/2013,03/08/2013,Domestic,holiday,
833,Easter Monday,13/04/2013,13/04/2013,Domestic,holiday,
834,Family Day,17/02/2013,17/02/2013,Domestic,holiday,
835,Father's Day,21/06/2013,21/06/2013,Domestic,holiday,
836,Good Friday,10/04/2013,10/04/2013,Domestic,holiday,
837,Heritage Day,17/02/2013,17/02/2013,Domestic,holiday,
838,Islander Day,17/02/2013,17/02/2013,Domestic,holiday,
839,Labour Day,07/09/2013,07/09/2013,Domestic,holiday,
840,Leap Day,29/02/2013,29/02/2013,Domestic,holiday,
841,Louis Riel Day,17/02/2013,17/02/2013,Domestic,holiday,
842,Mother's Day,10/05/2013,10/05/2013,Domestic,holiday,
843,New Year's Day,01/01/2013,01/01/2013,Domestic,holiday,
844,New Year's Eve,31/12/2013,31/12/2013,Vancouver,holiday,603500
845,Remembrance Day,11/11/2013,11/11/2013,Domestic,holiday,
846,Remembrance Day Parade and Service,11/11/2013,11/11/2013,Vancouver,event,603500
847,Sidelaunch Days,10/08/2013,11/08/2013,Domestic,holiday,
848,St. Jean Baptiste Day,24/06/2013,24/06/2013,Domestic,holiday,
849,St. Patrick's Day,17/03/2013,17/03/2013,Domestic,holiday,
850,Thanksgiving,12/10/2013,12/10/2013,Domestic,holiday,
851,Valentine's Day,14/02/2013,14/02/2013,Domestic,holiday,
852,Vancouver Fashion Week,30/03/2013,05/04/2013,Vancouver,event,603500
853,Vancouver Gem & Mineral Show,09/08/2013,09/08/2013,Vancouver,event,603500
854,Vancouver Gift Expo,15/03/2013,17/03/2013,Vancouver,event,603500
855,Vancouver International Travel Expo,19/09/2013,19/09/2013,Vancouver,event,603500
856,Victoria Day,18/05/2013,18/05/2013,Domestic,holiday,
857,BMO Vancouver Marathon,03/05/2013,03/05/2013,Vancouver,event,603500
858,Honda Celebration of Light,25/07/2013,25/07/2013,Vancouver,event,603500
859,Vancouver Cherry Blossom Festival,04/04/2013,28/04/2013,Vancouver,event,603500
860,Dine Out Vancouver Festival,17/01/2013,02/02/2013,Vancouver,event,603500
861,HSBC Canada Sevens,07/03/2013,08/03/2013,Vancouver,event,603500
862,International Jazz Festival,21/06/2013,01/07/2013,Vancouver,event,603500
863,PuSh International Performing Arts Festival,21/01/2013,09/02/2013,Vancouver,event,603500
864,TED Conference,20/04/2013,24/04/2013,Vancouver,event,603500
865,Vancouver Craft Beer Week,29/05/2013,07/06/2013,Vancouver,event,603500
866,Vancouver Folk Music Festival,17/07/2013,19/07/2013,Vancouver,event,603500
867,Vancouver International Film Festival (VIFF),24/09/2013,09/10/2013,Vancouver,event,603500
868,Vancouver International Wine Festival,22/02/2013,01/03/2013,Vancouver,event,603500
869,Vancouver Opera Festival,22/02/2013,01/05/2013,Vancouver,event,603500
870,Vancouver Pride Festival,02/08/2013,02/08/2013,Vancouver,event,603500
871,Aboriginal Day,21/06/2012,21/06/2012,Domestic,holiday,
872,Boxing Day,26/12/2012,26/12/2012,Domestic,holiday,
873,BUILDEX Vancouver,12/02/2012,13/02/2012,Vancouver,event,603500
874,Canada Day,01/07/2012,01/07/2012,Domestic,holiday,
875,Canada Day Celebrations,01/07/2012,01/07/2012,Vancouver,event,603500
876,Christmas Day,25/12/2012,25/12/2012,Domestic,holiday,
877,Civic Holiday,03/08/2012,03/08/2012,Domestic,holiday,
878,Easter Monday,13/04/2012,13/04/2012,Domestic,holiday,
879,Family Day,17/02/2012,17/02/2012,Domestic,holiday,
880,Father's Day,21/06/2012,21/06/2012,Domestic,holiday,
881,Good Friday,10/04/2012,10/04/2012,Domestic,holiday,
882,Heritage Day,17/02/2012,17/02/2012,Domestic,holiday,
883,Islander Day,17/02/2012,17/02/2012,Domestic,holiday,
884,Labour Day,07/09/2012,07/09/2012,Domestic,holiday,
885,Leap Day,29/02/2012,29/02/2012,Domestic,holiday,
886,Louis Riel Day,17/02/2012,17/02/2012,Domestic,holiday,
887,Mother's Day,10/05/2012,10/05/2012,Domestic,holiday,
888,New Year's Day,01/01/2012,01/01/2012,Domestic,holiday,
889,New Year's Eve,31/12/2012,31/12/2012,Vancouver,holiday,603500
890,Remembrance Day,11/11/2012,11/11/2012,Domestic,holiday,
891,Remembrance Day Parade and Service,11/11/2012,11/11/2012,Vancouver,event,603500
892,Sidelaunch Days,10/08/2012,11/08/2012,Domestic,holiday,
893,St. Jean Baptiste Day,24/06/2012,24/06/2012,Domestic,holiday,
894,St. Patrick's Day,17/03/2012,17/03/2012,Domestic,holiday,
895,Thanksgiving,12/10/2012,12/10/2012,Domestic,holiday,
896,Valentine's Day,14/02/2012,14/02/2012,Domestic,holiday,
897,Vancouver Fashion Week,30/03/2012,05/04/2012,Vancouver,event,603500
898,Vancouver Gem & Mineral Show,09/08/2012,09/08/2012,Vancouver,event,603500
899,Vancouver Gift Expo,15/03/2012,17/03/2012,Vancouver,event,603500
900,Vancouver International Travel Expo,19/09/2012,19/09/2012,Vancouver,event,603500
901,Victoria Day,18/05/2012,18/05/2012,Domestic,holiday,
902,BMO Vancouver Marathon,03/05/2012,03/05/2012,Vancouver,event,603500
903,Honda Celebration of Light,25/07/2012,25/07/2012,Vancouver,event,603500
904,Vancouver Cherry Blossom Festival,04/04/2012,28/04/2012,Vancouver,event,603500
905,Dine Out Vancouver Festival,17/01/2012,02/02/2012,Vancouver,event,603500
906,HSBC Canada Sevens,07/03/2012,08/03/2012,Vancouver,event,603500
907,International Jazz Festival,21/06/2012,01/07/2012,Vancouver,event,603500
908,PuSh International Performing Arts Festival,21/01/2012,09/02/2012,Vancouver,event,603500
909,TED Conference,20/04/2012,24/04/2012,Vancouver,event,603500
910,Vancouver Craft Beer Week,29/05/2012,07/06/2012,Vancouver,event,603500
911,Vancouver Folk Music Festival,17/07/2012,19/07/2012,Vancouver,event,603500
912,Vancouver International Film Festival (VIFF),24/09/2012,09/10/2012,Vancouver,event,603500
913,Vancouver International Wine Festival,22/02/2012,01/03/2012,Vancouver,event,603500
914,Vancouver Opera Festival,22/02/2012,01/05/2012,Vancouver,event,603500
915,Vancouver Pride Festival,02/08/2012,02/08/2012,Vancouver,event,603500
916,Aboriginal Day,21/06/2011,21/06/2011,Domestic,holiday,
917,Boxing Day,26/12/2011,26/12/2011,Domestic,holiday,
918,BUILDEX Vancouver,12/02/2011,13/02/2011,Vancouver,event,603500
919,Canada Day,01/07/2011,01/07/2011,Domestic,holiday,
920,Canada Day Celebrations,01/07/2011,01/07/2011,Vancouver,event,603500
921,Christmas Day,25/12/2011,25/12/2011,Domestic,holiday,
922,Civic Holiday,03/08/2011,03/08/2011,Domestic,holiday,
923,Easter Monday,13/04/2011,13/04/2011,Domestic,holiday,
924,Family Day,17/02/2011,17/02/2011,Domestic,holiday,
925,Father's Day,21/06/2011,21/06/2011,Domestic,holiday,
926,Good Friday,10/04/2011,10/04/2011,Domestic,holiday,
927,Heritage Day,17/02/2011,17/02/2011,Domestic,holiday,
928,Islander Day,17/02/2011,17/02/2011,Domestic,holiday,
929,Labour Day,07/09/2011,07/09/2011,Domestic,holiday,
930,Leap Day,29/02/2011,29/02/2011,Domestic,holiday,
931,Louis Riel Day,17/02/2011,17/02/2011,Domestic,holiday,
